X,Y,Z
437847.1630,86831.3470,0.5000
437848.7468,86833.6520,0.5000
437850.2589,86835.9829,0.5000
437855.9419,86845.7521,0.5000
437860.2068,86853.7756,0.5000
437860.8687,86855.1650,0.5000
437861.4883,86856.5623,0.5000
437857.3592,86848.3523,0.5000
437858.8008,86851.0314,0.5000
437859.5138,86852.3968,0.5000
437863.3306,86869.0221,0.5000
437854.9484,86878.0562,0.5000
437854.2712,86878.2865,0.5000
437853.5843,86878.4937,0.5000
437856.9027,86877.2033,0.5000
437856.2661,86877.5170,0.5000
437855.6141,86877.8005,0.5000
437852.1895,86878.8483,0.5000
437846.5483,86879.7109,0.5000
437845.1350,86879.7822,0.5000
437843.7166,86879.7800,0.5000
437850.7795,86879.1386,0.5000
437849.3684,86879.3809,0.5000
437847.9587,86879.5744,0.5000
437857.5218,86876.8571,0.5000
437862.3430,86871.6342,0.5000
437861.9995,86872.2632,0.5000
437861.6206,86872.8767,0.5000
437863.1435,86869.6848,0.5000
437862.9166,86870.3420,0.5000
437862.6493,86870.9927,0.5000
437861.2079,86873.4716,0.5000
437859.2549,86875.6029,0.5000
437858.6998,86876.0581,0.5000
437858.1215,86876.4762,0.5000
437860.7633,86874.0448,0.5000
437860.2884,86874.5932,0.5000
437859.7850,86875.1136,0.5000
437889.5034,86789.8082,0.5000
437883.0179,86849.6117,0.5000
437882.8725,86848.9436,0.5000
437882.7546,86848.2697,0.5000
437883.6268,86851.5770,0.5000
437883.3944,86850.9288,0.5000
437883.1916,86850.2736,0.5000
437882.6632,86847.5901,0.5000
437882.5463,86844.8246,0.5000
437882.5749,86844.1231,0.5000
437882.6956,86842.7110,0.5000
437882.5976,86846.9055,0.5000
437882.5568,86846.2161,0.5000
437882.5400,86845.5223,0.5000
437883.8879,86852.2180,0.5000
437889.7329,86860.3293,0.5000
437888.7229,86859.2789,0.5000
437887.7519,86858.1898,0.5000
437892.9313,86863.2136,0.5000
437891.8348,86862.3036,0.5000
437890.7708,86861.3393,0.5000
437886.8316,86857.0637,0.5000
437884.8281,86854.0958,0.5000
437884.4899,86853.4776,0.5000
437884.1761,86852.8516,0.5000
437885.9734,86855.9019,0.5000
437885.5712,86855.3082,0.5000
437885.1890,86854.7061,0.5000
437882.8951,86841.2888,0.5000
437892.2570,86820.0056,0.5000
437892.7353,86819.5153,0.5000
437893.2341,86819.0466,0.5000
437890.9350,86821.5954,0.5000
437891.3580,86821.0467,0.5000
437891.7983,86820.5165,0.5000
437893.7534,86818.5991,0.5000
437896.6058,86816.6238,0.5000
437897.8380,86815.9244,0.5000
437899.1044,86815.2565,0.5000
437894.2918,86818.1714,0.5000
437894.8477,86817.7617,0.5000
437895.4197,86817.3683,0.5000
437890.5282,86822.1613,0.5000
437884.3443,86835.5606,0.5000
437884.8351,86834.1337,0.5000
437885.3636,86832.7150,0.5000
437883.1666,86839.8596,0.5000
437883.5032,86838.4265,0.5000
437883.8981,86836.9925,0.5000
437885.9228,86831.3074,0.5000
437888.3652,86825.8607,0.5000
437889.0407,86824.5769,0.5000
437889.7587,86823.3409,0.5000
437886.5060,86829.9139,0.5000
437887.1064,86828.5376,0.5000
437887.7234,86827.1838,0.5000
437894.0668,86864.0607,0.5000
437920.3257,86881.4728,0.5000
437919.6263,86881.3469,0.5000
437918.9412,86881.1973,0.5000
437923.2379,86881.7847,0.5000
437921.7617,86881.6626,0.5000
437921.0380,86881.5773,0.5000
437918.2718,86881.0220,0.5000
437915.7788,86880.0173,0.5000
437915.2088,86879.6793,0.5000
437914.6628,86879.3020,0.5000
437917.6195,86880.8185,0.5000
437916.9856,86880.5847,0.5000
